,MONTH,DAY_OF_WEEK,FL_DATE,UNIQUE_CARRIER,TAIL_NUM,MFR,MODEL,DEP_TIME,DEP_TIME_BLK,ARR_TIME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ROUTE,FL_NUM,ORIGIN_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
324,12,2,2013-12-17,UA,596UA,BOEING                        ,757-222             ,1524.0,1500-1559,2340.0,21.0,0.0,0.0,0.0,0.0,14771 12478,304UA,14771,1500,24.0,2319,21.0,21.0,0,0,319,316.0,282.0,2586
325,5,5,2013-05-31,VX,631VA,AIRBUS                        ,A320-214            ,1434.0,1400-1459,2325.0,16.0,0.0,0.0,0.0,4.0,14771 12478,26VX,14771,1430,4.0,2305,20.0,20.0,0,0,335,351.0,326.0,2586
326,12,3,2011-12-07,UA,502UA,BOEING                        ,757-222             ,1349.0,1300-1359,2157.0,,,,,,14771 12478,772UA,14771,1354,-5.0,2223,-26.0,0.0,0,0,329,308.0,283.0,2586
327,2,3,2013-02-20,UA,554UA,BOEING                        ,757-222             ,1034.0,1000-1059,1849.0,,,,,,14771 12478,760UA,14771,1041,-7.0,1915,-26.0,0.0,0,0,334,315.0,292.0,2586
328,6,1,2012-06-18,B6,594JB,AIRBUS                        ,A320-232            ,2057.0,2100-2159,508.0,,,,,,14771 12478,648B6,14771,2100,-3.0,537,-29.0,0.0,0,0,337,311.0,291.0,2586
329,9,3,2014-09-17,AA,791AA,BEECH                         ,A36                 ,2223.0,2200-2259,644.0,,,,,,14771 12478,18AA,14771,2225,-2.0,700,-16.0,0.0,0,0,335,321.0,297.0,2586
330,10,4,2012-10-04,B6,615JB,AIRBUS                        ,A320-232            ,2111.0,2100-2159,502.0,,,,,,14771 12478,648B6,14771,2100,11.0,527,-25.0,0.0,0,0,327,291.0,277.0,2586
331,6,1,2014-06-23,B6,580JB,AIRBUS                        ,A320-232            ,624.0,0600-0659,1439.0,,,,,,14771 12478,16B6,14771,628,-4.0,1459,-20.0,0.0,0,0,331,315.0,297.0,2586
332,7,7,2013-07-14,UA,557UA,BOEING                        ,757-222             ,1045.0,1000-1059,1937.0,0.0,0.0,17.0,0.0,0.0,14771 12478,760UA,14771,1048,-3.0,1920,17.0,17.0,0,0,332,352.0,314.0,2586
333,9,1,2012-09-10,DL,727TW,BOEING                        ,757-231             ,1558.0,1600-1659,39.0,,,,,,14771 12478,2040DL,14771,1600,-2.0,34,5.0,5.0,0,0,334,341.0,296.0,2586
